y,y_hat,probabilities,x
False,True,"[0.0, 1.0]",BBKB Kaboom Box
False,True,"[0.0, 1.0]",Gourmet Syndicate
False,True,"[0.0, 1.0]",Potato Tornado
False,True,"[0.0, 1.0]",Mum's Grilled Cheese Truck
False,True,"[0.0, 1.0]",Le Tigre
False,True,"[0.0, 1.0]",Van Dog
False,True,"[0.0, 1.0]",Suassy Thai
False,True,"[0.0, 1.0]",Crab Park Chowdery
False,True,"[0.0, 1.0]",Cheesey Does It
False,True,"[0.0, 1.0]",San Juan Family Farm
False,True,"[0.0, 1.0]",Actual Oden
False,True,"[0.0, 1.0]",Chickpea
False,True,"[0.0, 1.0]",Mogu
False,True,"[0.0, 1.0]",Yokabai
False,True,"[0.0, 1.0]",Marimba
False,True,"[0.0, 1.0]",Disco Cheetah
False,True,"[0.0, 1.0]",Master Chef's Kebab House
False,True,"[0.0, 1.0]",Roaming Dragon
False,True,"[0.0, 1.0]",Vij's Railway Express
False,True,"[0.0, 1.0]",Commissary Connect
False,True,"[0.0, 1.0]",La Bomba Taqueria
False,True,"[0.0, 1.0]",Russett Shack
False,True,"[0.0, 1.0]",Arturo's Mexico To Go
False,True,"[0.0, 1.0]",Chou Chou Crepes
False,True,"[0.0, 1.0]",Come Arepa
False,True,"[0.0, 1.0]",Fat Duck Mobile Eatery
False,True,"[0.0, 1.0]",Tacofino
