y,y_hat,probabilities,x
False,True,"[0.48486372091146257, 0.5151362790885374]",Van Dog
True,False,"[0.5575291620674792, 0.4424708379325208]",
True,False,"[0.5665436668638206, 0.43345633313617943]",
True,False,"[0.5665436668638206, 0.43345633313617943]",
True,False,"[0.5951209415798449, 0.40487905842015515]",
True,False,"[0.5951209415798449, 0.40487905842015515]",
True,False,"[0.5951209415798449, 0.40487905842015515]",
True,False,"[0.6011852449918378, 0.39881475500816216]",
True,False,"[0.6011852449918378, 0.39881475500816216]",
True,False,"[0.6011852449918378, 0.39881475500816216]",Holy Smokes
True,False,"[0.6011852449918378, 0.39881475500816216]",Mac BBQ
True,False,"[0.6048256520648894, 0.39517434793511064]",
True,False,"[0.6048256520648894, 0.39517434793511064]",
True,False,"[0.6048256520648894, 0.39517434793511064]",
