y,y_hat,probabilities,x
False,True,"[0.3642228229895249, 0.6357771770104746]",Van Dog
True,False,"[0.6544133650223363, 0.34558663497766406]",
True,False,"[0.6839649670539567, 0.3160350329460436]",
True,False,"[0.6839649670539567, 0.3160350329460436]",
True,False,"[0.7066548087250116, 0.29334519127498854]",
True,False,"[0.7066548087250116, 0.29334519127498854]",
True,False,"[0.7066548087250116, 0.29334519127498854]",
True,False,"[0.7247833230416214, 0.27521667695837865]",
True,False,"[0.7247833230416214, 0.27521667695837865]",
True,False,"[0.7247833230416214, 0.27521667695837865]",Holy Smokes
True,False,"[0.7247833230416214, 0.27521667695837865]",Mac BBQ
True,False,"[0.7834187709904163, 0.21658122900958396]",
True,False,"[0.7834187709904163, 0.21658122900958396]",
True,False,"[0.7834187709904163, 0.21658122900958396]",
